,,,,,,,,,,,,,,,,,,,,
,SQUID,F39-A,L40-B,,,,,,,,,,,,,,,,,
,1/Mf,32.9,33.17,,,,,,,,,,,,,,,,,
,1/Min,24.6,26.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TES,2407-MI-1-F,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Rf,1.00E+05,Ω,FLL フィードバック抵抗,,,,,,,,,,,,,,,,
,Rs,2.00E-02,Ω,シャント抵抗,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1/Mf,33.17,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,1/Min,26.2,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,Mf,0.03014772385,Phi0 / uA,,,,,,,,,,,,,,,,,
,Min,0.03816793893,Phi0 / uA,,,,,,,,,,,,,,,,,
,Mf/Min,0.7898703648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,測定値,,,,,,,,,I-Vプロット用,,,R-Vプロット用,,,,R-I プロット用,,P-V プロット用,
,Ib [uA],Ib [A],SQUID out [V],Ites [A],Vtes [V],Rtes [Ω],Ptes [W],,,Vtes [V],Ites[A],,Vtes[V],Rtes[Ω],R ratio,,Ites[A],Rtes[Ω],Vtes [V],Ptes [W]
,6.75E+02,6.75E-04,1.82E-01,1.44E-06,1.35E-05,9.36E+00,1.94E-11,,,1.35E-05,1.44E-06,,1.35E-05,9.36E+00,0.965,,1.44E-06,9.36E+00,1.35E-05,1.94E-11
,6.70E+02,6.70E-04,1.81E-01,1.43E-06,1.34E-05,9.35E+00,1.91E-11,,,1.34E-05,1.43E-06,,1.34E-05,9.35E+00,0.964,,1.43E-06,9.35E+00,1.34E-05,1.91E-11
,6.65E+02,6.65E-04,1.80E-01,1.42E-06,1.33E-05,9.33E+00,1.89E-11,,,1.33E-05,1.42E-06,,1.33E-05,9.33E+00,0.963,,1.42E-06,9.33E+00,1.33E-05,1.89E-11
,6.60E+02,6.60E-04,1.79E-01,1.42E-06,1.32E-05,9.31E+00,1.86E-11,,,1.32E-05,1.42E-06,,1.32E-05,9.31E+00,0.960,,1.42E-06,9.31E+00,1.32E-05,1.86E-11
,6.55E+02,6.55E-04,1.78E-01,1.40E-06,1.31E-05,9.32E+00,1.83E-11,,,1.31E-05,1.40E-06,,1.31E-05,9.32E+00,0.961,,1.40E-06,9.32E+00,1.31E-05,1.83E-11
,6.50E+02,6.50E-04,1.76E-01,1.39E-06,1.30E-05,9.31E+00,1.81E-11,,,1.30E-05,1.39E-06,,1.30E-05,9.31E+00,0.960,,1.39E-06,9.31E+00,1.30E-05,1.81E-11
,6.45E+02,6.45E-04,1.75E-01,1.38E-06,1.29E-05,9.30E+00,1.78E-11,,,1.29E-05,1.38E-06,,1.29E-05,9.30E+00,0.959,,1.38E-06,9.30E+00,1.29E-05,1.78E-11
,6.40E+02,6.40E-04,1.74E-01,1.38E-06,1.28E-05,9.27E+00,1.76E-11,,,1.28E-05,1.38E-06,,1.28E-05,9.27E+00,0.957,,1.38E-06,9.27E+00,1.28E-05,1.76E-11
,6.35E+02,6.35E-04,1.73E-01,1.37E-06,1.27E-05,9.28E+00,1.73E-11,,,1.27E-05,1.37E-06,,1.27E-05,9.28E+00,0.957,,1.37E-06,9.28E+00,1.27E-05,1.73E-11
,6.30E+02,6.30E-04,1.72E-01,1.36E-06,1.26E-05,9.27E+00,1.71E-11,,,1.26E-05,1.36E-06,,1.26E-05,9.27E+00,0.956,,1.36E-06,9.27E+00,1.26E-05,1.71E-11
,6.25E+02,6.25E-04,1.71E-01,1.35E-06,1.25E-05,9.25E+00,1.68E-11,,,1.25E-05,1.35E-06,,1.25E-05,9.25E+00,0.954,,1.35E-06,9.25E+00,1.25E-05,1.68E-11
